trade_date,open,high,low,close,prev_close,volume,turnover_lakhs,num_trades,delivery_qty,delivery_pct,adjusted_close,adjustment_factor,symbol,return_1d,return_5d,return_20d,sma_20,sma_50,sma_200,price_sma20,price_sma50,price_sma200,ema_12,ema_26,macd,macd_signal,macd_histogram,rsi_14,volatility_20,volume_sma20,volume_ratio,daily_range,close_position,sma20_sma50,sma50_sma200,future_return_1d
2020-10-19,1010.71,1028.54,994.6,1004.32,,31200385,,,,,502.16,0.5,RELIANCE,-0.033399367190145024,-0.32756971260182793,-0.41833670003214973,-0.5669589415952616,-0.6072525970361589,-1.1669870358402177,-0.3123501025754271,-0.15864823380266935,0.7168537226840093,-0.573873944185707,-0.5869795824624218,-0.0548809080164269,0.018329231376124605,-0.24503584604376324,-0.46168433299048606,-0.2335891440037108,26369859.7,0.361701326747148,1.3685471327944352,1.0643654889639276,0.110462791916302,1.2017111436303807,-0.0093296957145132
2020-10-20,1005.61,1012.07,993.26,994.95,,18482288,,,,,497.475,0.5,RELIANCE,-0.22445235603943944,-0.5770238753909146,-0.363734946232213,-0.5710723904776077,-0.6066300700463031,-1.1632574585933868,-0.37817348332138706,-0.2152001411836011,0.665577512758248,-0.5821780494970699,-0.5907141475313864,-0.0866050869747994,-0.00166544516940737,-0.28988530330517986,-0.931997970673672,-0.24736229728413622,25612605.05,-0.5822035688926573,-0.06182151824799037,0.26183334324634877,0.08120757478583301,1.1908320818734182,-0.0145233428815518
2020-10-21,1000.53,1011.61,968.11,980.5,,34082321,,,,,490.25,0.5,RELIANCE,-0.32869342692899667,-0.7266021068069916,-0.34002087433440265,-0.5746355362462486,-0.6067890688267652,-1.1598484578495154,-0.4941349549224338,-0.2989496648364676,0.5923395834326801,-0.5931201888368457,-0.5961281577882973,-0.12520297347816206,-0.02597553220111137,-0.3445056674344385,-1.0572758639170505,-0.25447270407047134,25577108.4,0.6671144439966761,2.3841327506769505,1.3030477318199916,0.060068889847835545,1.1783683054938787,-0.0083018867924528
2020-10-22,981.79,984.15,965.0,972.36,,30802210,,,,,486.18,0.5,RELIANCE,-0.20382332613818255,-0.48998617227633723,-0.41534736105845166,-0.5797327522832405,-0.607145600209777,-1.156549334090246,-0.5443366749877956,-0.3453313117742396,0.5480258963054379,-0.6045846585915061,-0.6022430325493865,-0.16276803820110047,-0.05351546814929289,-0.38538602504254715,-1.104473514647841,-0.25855377277355335,24967783.5,0.46496116866292175,0.013967535401281324,0.35353543019982586,0.030595393935841333,1.1656381471913795,0.0028898761775473
2020-10-23,971.92,985.3,967.49,975.17,,23422125,,,,,487.585,0.5,RELIANCE,0.02080520938093633,-0.3424566134271117,-0.303623629031777,-0.5825377819308946,-0.6073012319572412,-1.1530165076131702,-0.5042245198786861,-0.32847760954953287,0.5525459554980168,-0.6135239240298638,-0.6075245672036125,-0.1887213576655034,-0.08113800468635743,-0.386431504784634,-0.9602381609451351,-0.27630735596059647,24647573.85,-0.11457656601970935,-0.12349869229206355,0.22198614175849166,0.01412873618784065,1.1528465688746061,-0.03972640667781
2020-10-26,970.05,970.05,931.54,936.43,,37324416,,,,,468.215,0.5,RELIANCE,-0.8345411049332383,-0.6938137016945478,-0.5206673497223583,-0.5896417759352063,-0.6087636466227131,-1.150086903334411,-0.8306399049539612,-0.5501413338776469,0.37198713476025347,-0.6315854892060181,-0.6176590656607982,-0.2446475027188772,-0.11528304869051334,-0.46898720464908905,-1.3482203032538354,-0.22226544238275242,25095047.9,0.983654453712266,2.072778440117531,1.232198334595223,-0.021221346416445665,1.137615490288328,0.0026590348451032
2020-10-27,939.11,950.62,925.31,938.92,,36478896,,,,,469.46,0.5,RELIANCE,0.016172020616735772,-0.5915209587199307,-0.5373355404487805,-0.5971230441973742,-0.6097453237990238,-1.1470627167515342,-0.7709444816365382,-0.5327540359544697,0.3765015021640992,-0.6461936243074254,-0.6267057921342807,-0.2843563653091334,-0.15115274433024098,-0.4908162057679635,-1.8174565692318074,-0.2250877437946268,25935650.25,0.8184080040440638,0.7116555241019024,0.8271945454179676,-0.06182803444509347,1.1237836497275,-0.0113321688748775
2020-10-28,942.29,949.63,926.41,928.28,,29924017,,,,,464.14,0.5,RELIANCE,-0.2646437552528353,-0.5638178159431821,-0.6388200122882539,-0.6067386323154518,-0.6115945731444901,-1.14436363389704,-0.8240676672388721,-0.5895513165745272,0.32297379900121337,-0.6614375279656879,-0.6365227151044369,-0.3233467377692749,-0.1882473917836832,-0.5063204815072649,-1.8309990700285546,-0.23649783434848617,26139724.15,0.28315032237589244,0.525036155543518,0.6986634991181238,-0.11060253650478903,1.1080851944394097,0.0076808721506442
2020-10-29,921.62,942.38,918.85,935.41,,30655304,,,,,467.705,0.5,RELIANCE,0.11696471633256927,-0.42549264348265325,-0.5872278271760295,-0.6152776955417267,-0.6134015475200921,-1.141575352465959,-0.7145576515812224,-0.5426237974378606,0.3487917911378928,-0.6724041639552923,-0.6446472788157118,-0.34449385600970034,-0.22247839682437626,-0.47007521774347105,-1.628257349707251,-0.22965130307661255,26449231.4,0.31229654550123287,0.5385573574235383,0.7484533737605081,-0.15302379600444607,1.0922740121342986,0.0136196961760084
2020-10-30,938.46,953.04,933.06,948.15,,34021563,,,,,474.075,0.5,RELIANCE,0.23616214278801062,-0.33218619162061336,-0.513037191159862,-0.6223058779339402,-0.614136308943215,-1.1386091633114803,-0.5582348889679195,-0.46592353820206617,0.3991690721272186,-0.6782314037286665,-0.6504454240598257,-0.34610508828830494,-0.25021027536111806,-0.3878154518867994,-1.3677415400172275,-0.21648518055595306,27111148.2,0.5083427187953597,0.14637976982671072,0.4911313862788449,-0.19243278505483288,1.0796294043472294,-0.0861783473079152
2020-11-02,935.46,935.46,858.0,866.44,,99366895,,,,,433.22,0.5,RELIANCE,-1.7668724475225546,-0.7585724065648798,-0.8564245447781892,-0.6360848614082165,-0.6176653336399142,-1.136562735062629,-1.2714644619632032,-0.9345843763078014,0.030590470020835234,-0.7053035119956972,-0.6668750644117383,-0.4218777259385891,-0.288717913113363,-0.5242047696599257,-2.1928035411396154,-0.01454935484899335,31133353.0,4.468958414120888,6.710744262240504,1.6756781583556197,-0.25755097069837024,1.0604416693337075,-0.0144037671390979
2020-11-03,872.23,881.0,846.9,853.96,,88691623,,,,,426.98,0.5,RELIANCE,-0.32629343650898596,-0.9013163915332009,-0.9094911920220006,-0.6509011261162679,-0.6219014352661966,-1.1346379301129912,-1.3217610138114746,-0.9964239980070934,-0.02882037355128029,-0.7315924484789855,-0.6837770974036136,-0.4892992865017272,-0.33404725811793495,-0.6105474560160101,-2.2846454243600567,-0.01497336983931583,34647325.4,3.176919810045997,1.9581977183162576,1.213024424754278,-0.32526741338717635,1.039253339918005,0.033936015738442
2020-11-04,847.78,890.23,847.78,882.94,,80180117,,,,,441.47,0.5,RELIANCE,0.6439285619554678,-0.5237883842519307,-0.8619295862752241,-0.6650734380721394,-0.6248176599572565,-1.1324372091274104,-0.9716423608944288,-0.8180162937315828,0.0956924235806946,-0.7459840778125387,-0.6955041391700035,-0.5101288019561183,-0.37479760658858147,-0.552590870233257,-1.6156082183657534,0.007788413736560059,35997788.0,2.4970129723063756,2.7408370129138238,1.3988086935405124,-0.3969335110959839,1.021752341810018,0.0218474641538495
2020-11-05,902.21,904.98,891.62,902.23,,37205373,,,,,451.115,0.5,RELIANCE,0.40130068945020214,-0.40256340105521327,-0.7441706174562,-0.6767733995722727,-0.6279650875808471,-1.1302415047970287,-0.7237632713297341,-0.6955149737991202,0.17689691446247893,-0.7529345026533735,-0.7037512463864829,-0.5033978937019186,-0.40594798476660776,-0.43108357105669326,-1.216818224960707,0.02820584823941707,36804166.25,0.009389296315330612,-0.45549673375573124,-0.18618330759223392,-0.451981996697674,1.003508366960276,0.0379282444609467
2020-11-06,918.38,941.46,912.92,936.45,,66674086,,,,,468.225,0.5,RELIANCE,0.7240561069899195,-0.19286418827751145,-0.5809216794454183,-0.685183137107321,-0.6293713850296855,-1.1273549703385142,-0.34267181924091233,-0.4895928673858435,0.3226636067050817,-0.7495428670029142,-0.7067551353053136,-0.4610054946969818,-0.42173656802725534,-0.2366485724036415,-0.7533665013053135,0.07126433075834294,39210595.6,1.4194124139196467,1.0498568569633349,0.9917328308979947,-0.4966088009732706,0.9890202202440441,0.0106252335949597
2020-11-09,951.66,954.84,939.61,946.4,,35838510,,,,,473.2,0.5,RELIANCE,0.1760606425998089,0.7556308982587825,-0.5432782505362411,-0.692853488449076,-0.6305012116579085,-1.1243553776018567,-0.20252959768225456,-0.4274974947807916,0.36028520723094765,-0.7439768202426708,-0.7081895940450633,-0.4141506421562941,-0.4242744611208605,-0.06893393107183637,-0.5656633467470692,0.07538324993294114,40291197.45,-0.23889795068246913,-0.33206298999162287,-0.02717867135292065,-0.5382502253502116,0.9751536155047824,0.0165046491969569
2020-11-10,958.54,964.53,942.01,962.02,,36934242,,,,,481.01,0.5,RELIANCE,0.2940656896978424,1.0661665868117565,-0.5557100288567404,-0.7009269791869331,-0.6304346192275035,-1.1211616036017658,-0.0024002165821316035,-0.3354821098771953,0.4224306113624918,-0.7350344589316398,-0.7074033354097065,-0.3589615418173056,-0.4144165271469937,0.08796066569437555,-0.27487369756646785,0.07245076580044323,40982308.95,-0.21489677995823167,0.37084785778180573,0.6605685873974259,-0.5893308809568313,0.9648068940566922,-0.0419014157709818
