trade_date,open,high,low,close,prev_close,volume,turnover_lakhs,num_trades,delivery_qty,delivery_pct,adjusted_close,adjustment_factor,symbol
2020-01-01,638.05,640.0,635.3,639.3,,3673698,,,,,319.65,0.5,HDFCBANK
2020-01-02,639.5,644.0,639.5,643.38,,6137166,,,,,321.69,0.5,HDFCBANK
2020-01-03,641.1,642.5,631.8,634.2,,10855550,,,,,317.1,0.5,HDFCBANK
2020-01-06,630.0,630.9,618.0,620.47,,10890186,,,,,310.235,0.5,HDFCBANK
2020-01-07,629.45,635.72,626.12,630.3,,14724494,,,,,315.15,0.5,HDFCBANK
2020-01-08,623.47,631.08,620.03,628.65,,11332110,,,,,314.325,0.5,HDFCBANK
2020-01-09,632.5,637.9,631.55,635.7,,9546316,,,,,317.85,0.5,HDFCBANK
2020-01-10,642.05,643.45,637.55,641.35,,9214580,,,,,320.675,0.5,HDFCBANK
2020-01-13,641.35,648.25,638.0,643.0,,7451568,,,,,321.5,0.5,HDFCBANK
2020-01-14,644.5,646.28,638.75,644.75,,7886290,,,,,322.375,0.5,HDFCBANK
2020-01-15,643.2,643.97,637.05,642.12,,11787448,,,,,321.06,0.5,HDFCBANK
2020-01-16,641.03,645.5,639.67,643.83,,7150400,,,,,321.915,0.5,HDFCBANK
2020-01-17,640.88,642.45,635.95,639.08,,16918814,,,,,319.54,0.5,HDFCBANK
2020-01-20,652.42,652.42,626.25,627.45,,22178450,,,,,313.725,0.5,HDFCBANK
2020-01-21,625.0,625.0,619.2,622.17,,14984804,,,,,311.085,0.5,HDFCBANK
2020-01-22,624.03,627.5,617.2,620.42,,18368310,,,,,310.21,0.5,HDFCBANK
2020-01-23,620.0,623.42,615.5,622.42,,11508920,,,,,311.21,0.5,HDFCBANK
2020-01-24,623.0,627.0,619.55,622.28,,11831756,,,,,311.14,0.5,HDFCBANK
2020-01-27,617.5,617.5,605.88,606.6,,18888552,,,,,303.3,0.5,HDFCBANK
2020-01-28,609.4,613.9,606.62,611.6,,13412158,,,,,305.8,0.5,HDFCBANK
2020-01-29,612.65,621.0,611.12,617.92,,13788350,,,,,308.96,0.5,HDFCBANK
2020-01-30,619.47,619.47,608.6,613.03,,12111984,,,,,306.515,0.5,HDFCBANK
2020-01-31,615.72,618.9,610.12,613.15,,11178268,,,,,306.575,0.5,HDFCBANK
2020-02-03,598.5,598.97,588.85,596.4,,13077010,,,,,298.2,0.5,HDFCBANK
2020-02-04,599.0,617.0,599.0,614.9,,20897704,,,,,307.45,0.5,HDFCBANK
2020-02-05,617.45,624.0,613.65,622.33,,18020682,,,,,311.165,0.5,HDFCBANK
2020-02-06,622.33,624.35,618.6,619.9,,11827550,,,,,309.95,0.5,HDFCBANK
2020-02-07,623.0,623.5,615.8,621.1,,6815448,,,,,310.55,0.5,HDFCBANK
2020-02-10,621.47,621.47,613.03,620.15,,9219834,,,,,310.075,0.5,HDFCBANK
2020-02-11,621.65,627.5,619.03,620.3,,11613520,,,,,310.15,0.5,HDFCBANK
2020-02-12,622.6,626.45,622.03,624.5,,6297930,,,,,312.25,0.5,HDFCBANK
2020-02-13,629.95,629.95,616.8,620.7,,9112140,,,,,310.35,0.5,HDFCBANK
2020-02-14,621.6,624.2,607.5,609.67,,14688858,,,,,304.835,0.5,HDFCBANK
2020-02-17,612.5,616.5,607.22,608.58,,10152690,,,,,304.29,0.5,HDFCBANK
2020-02-18,608.45,609.25,601.75,606.62,,10529116,,,,,303.31,0.5,HDFCBANK
2020-02-19,611.25,615.0,606.95,613.6,,10012268,,,,,306.8,0.5,HDFCBANK
2020-02-20,615.0,615.0,607.05,608.55,,11123414,,,,,304.275,0.5,HDFCBANK
2020-02-24,604.47,607.38,600.0,604.97,,16568084,,,,,302.485,0.5,HDFCBANK
2020-02-25,602.0,604.5,599.0,600.15,,13886680,,,,,300.075,0.5,HDFCBANK
2020-02-26,598.75,602.35,592.83,599.62,,13814786,,,,,299.81,0.5,HDFCBANK
2020-02-27,597.5,601.25,590.5,599.72,,20655098,,,,,299.86,0.5,HDFCBANK
2020-02-28,587.75,592.5,585.05,588.83,,24313056,,,,,294.415,0.5,HDFCBANK
2020-03-02,600.1,600.58,583.08,589.8,,14664898,,,,,294.9,0.5,HDFCBANK
2020-03-03,587.5,592.67,584.0,590.9,,22369550,,,,,295.45,0.5,HDFCBANK
2020-03-04,589.17,590.0,566.55,574.42,,34288870,,,,,287.21,0.5,HDFCBANK
2020-03-05,576.5,582.5,571.38,575.67,,19549708,,,,,287.835,0.5,HDFCBANK
2020-03-06,562.5,570.45,550.5,567.45,,23053566,,,,,283.725,0.5,HDFCBANK
2020-03-09,555.0,559.2,532.5,553.65,,34420590,,,,,276.825,0.5,HDFCBANK
2020-03-11,552.5,560.0,546.0,556.9,,35538240,,,,,278.45,0.5,HDFCBANK
2020-03-12,537.5,540.0,501.73,510.65,,59000770,,,,,255.325,0.5,HDFCBANK
2020-03-13,490.02,540.72,459.6,534.9,,66342364,,,,,267.45,0.5,HDFCBANK
2020-03-16,517.5,518.5,497.5,499.75,,31986322,,,,,249.875,0.5,HDFCBANK
2020-03-17,504.0,505.0,477.35,487.55,,42676838,,,,,243.775,0.5,HDFCBANK
2020-03-18,492.5,496.5,432.5,438.45,,61181406,,,,,219.225,0.5,HDFCBANK
2020-03-19,423.5,459.98,397.5,447.77,,67220048,,,,,223.885,0.5,HDFCBANK
2020-03-20,437.5,457.3,412.27,441.42,,88637464,,,,,220.71,0.5,HDFCBANK
2020-03-23,397.3,419.38,382.5,385.77,,50276954,,,,,192.885,0.5,HDFCBANK
2020-03-24,397.62,405.0,369.38,383.85,,61057272,,,,,191.925,0.5,HDFCBANK
2020-03-25,385.23,433.73,377.62,428.38,,47228042,,,,,214.19,0.5,HDFCBANK
2020-03-26,435.05,468.85,420.5,450.55,,57043156,,,,,225.275,0.5,HDFCBANK
2020-03-27,472.48,494.33,436.05,452.23,,55235936,,,,,226.115,0.5,HDFCBANK
2020-03-30,440.0,443.5,414.0,415.83,,39268444,,,,,207.915,0.5,HDFCBANK
2020-03-31,426.9,436.8,419.0,430.95,,35211092,,,,,215.475,0.5,HDFCBANK
2020-04-01,431.92,431.92,410.0,414.83,,29103504,,,,,207.415,0.5,HDFCBANK
2020-04-03,421.5,422.0,405.0,406.92,,34996280,,,,,203.46,0.5,HDFCBANK
2020-04-07,437.0,453.65,422.67,448.05,,60412638,,,,,224.025,0.5,HDFCBANK
2020-04-08,439.98,472.5,433.05,444.45,,56219352,,,,,222.225,0.5,HDFCBANK
2020-04-09,456.5,465.45,445.0,462.52,,44457146,,,,,231.26,0.5,HDFCBANK
2020-04-13,467.0,473.35,443.1,447.67,,34158056,,,,,223.835,0.5,HDFCBANK
2020-04-15,465.25,465.25,421.5,431.65,,57978752,,,,,215.825,0.5,HDFCBANK
2020-04-16,432.5,445.35,428.12,439.88,,53854396,,,,,219.94,0.5,HDFCBANK
2020-04-17,457.5,460.0,443.62,455.15,,55883462,,,,,227.575,0.5,HDFCBANK
2020-04-20,475.5,480.48,467.5,472.42,,66232986,,,,,236.21,0.5,HDFCBANK
2020-04-21,462.5,467.0,454.0,460.83,,33178006,,,,,230.415,0.5,HDFCBANK
2020-04-22,459.58,466.5,453.65,464.3,,38289354,,,,,232.15,0.5,HDFCBANK
2020-04-23,467.5,479.25,456.27,477.48,,40901222,,,,,238.74,0.5,HDFCBANK
2020-04-24,466.5,479.2,463.0,469.02,,33284568,,,,,234.51,0.5,HDFCBANK
2020-04-27,472.58,478.7,463.15,464.85,,27421072,,,,,232.425,0.5,HDFCBANK
2020-04-28,471.9,471.9,461.0,465.7,,29441436,,,,,232.85,0.5,HDFCBANK
2020-04-29,467.5,496.35,467.05,488.55,,55877778,,,,,244.275,0.5,HDFCBANK
2020-04-30,500.7,509.5,496.05,500.9,,43793134,,,,,250.45,0.5,HDFCBANK
2020-05-04,478.75,480.0,458.75,461.5,,26722324,,,,,230.75,0.5,HDFCBANK
2020-05-05,469.0,472.0,454.02,455.73,,29672858,,,,,227.865,0.5,HDFCBANK
2020-05-06,459.5,475.0,452.83,473.2,,33785846,,,,,236.6,0.5,HDFCBANK
2020-05-07,470.25,471.65,460.67,462.5,,21831730,,,,,231.25,0.5,HDFCBANK
2020-05-08,471.0,471.98,462.6,464.52,,20807484,,,,,232.26,0.5,HDFCBANK
2020-05-11,468.5,477.0,457.0,457.9,,28550784,,,,,228.95,0.5,HDFCBANK
2020-05-12,450.5,454.7,435.55,450.77,,49568418,,,,,225.385,0.5,HDFCBANK
2020-05-13,475.5,480.0,461.05,463.83,,44346966,,,,,231.915,0.5,HDFCBANK
2020-05-14,449.0,455.5,445.0,446.85,,39554890,,,,,223.425,0.5,HDFCBANK
2020-05-15,445.25,446.2,437.5,444.08,,24349628,,,,,222.04,0.5,HDFCBANK
2020-05-18,444.0,444.0,415.65,418.33,,46649964,,,,,209.165,0.5,HDFCBANK
2020-05-19,430.42,433.65,413.05,415.33,,47460692,,,,,207.665,0.5,HDFCBANK
2020-05-20,418.23,432.0,416.1,428.55,,40014306,,,,,214.275,0.5,HDFCBANK
2020-05-21,430.73,442.0,426.15,429.77,,48478908,,,,,214.885,0.5,HDFCBANK
