trade_date,open,high,low,close,prev_close,volume,turnover_lakhs,num_trades,delivery_qty,delivery_pct,adjusted_close,adjustment_factor,symbol
2020-01-01,539.9,542.5,535.7,536.75,,7642793,,,,,536.75,1.0,ICICIBANK
2020-01-02,536.0,541.9,535.85,540.6,,10264223,,,,,540.6,1.0,ICICIBANK
2020-01-03,538.0,540.8,536.25,538.85,,9594690,,,,,538.85,1.0,ICICIBANK
2020-01-06,537.25,537.25,523.8,525.7,,12534334,,,,,525.7,1.0,ICICIBANK
2020-01-07,531.3,535.6,521.65,522.9,,16101835,,,,,522.9,1.0,ICICIBANK
2020-01-08,516.0,527.35,515.0,525.95,,16094310,,,,,525.95,1.0,ICICIBANK
2020-01-09,530.7,547.4,530.3,546.3,,18934019,,,,,546.3,1.0,ICICIBANK
2020-01-10,544.9,546.5,538.5,540.25,,12335407,,,,,540.25,1.0,ICICIBANK
2020-01-13,539.4,546.05,538.0,538.6,,7901800,,,,,538.6,1.0,ICICIBANK
2020-01-14,536.2,538.95,534.15,537.6,,13939440,,,,,537.6,1.0,ICICIBANK
2020-01-15,535.1,536.95,530.65,535.6,,12353176,,,,,535.6,1.0,ICICIBANK
2020-01-16,533.9,540.0,533.2,537.15,,11249232,,,,,537.15,1.0,ICICIBANK
2020-01-17,534.5,538.0,530.6,532.05,,18312609,,,,,532.05,1.0,ICICIBANK
2020-01-20,533.0,544.0,531.0,534.85,,19159996,,,,,534.85,1.0,ICICIBANK
2020-01-21,532.95,540.25,530.2,531.05,,13477994,,,,,531.05,1.0,ICICIBANK
2020-01-22,531.5,534.95,520.75,522.85,,17527408,,,,,522.85,1.0,ICICIBANK
2020-01-23,521.4,530.25,517.05,527.7,,17061293,,,,,527.7,1.0,ICICIBANK
2020-01-24,529.25,537.4,527.0,533.85,,17851868,,,,,533.85,1.0,ICICIBANK
2020-01-27,538.5,545.0,531.5,537.25,,38149166,,,,,537.25,1.0,ICICIBANK
2020-01-28,538.1,540.6,524.45,528.2,,24009224,,,,,528.2,1.0,ICICIBANK
2020-01-29,531.55,534.8,525.3,526.6,,16400827,,,,,526.6,1.0,ICICIBANK
2020-01-30,527.65,533.95,524.15,532.2,,14319317,,,,,532.2,1.0,ICICIBANK
2020-01-31,530.0,532.75,522.4,525.65,,16292578,,,,,525.65,1.0,ICICIBANK
2020-02-03,504.0,519.15,502.0,515.55,,22531888,,,,,515.55,1.0,ICICIBANK
2020-02-04,520.0,534.65,516.65,530.8,,17781475,,,,,530.8,1.0,ICICIBANK
2020-02-05,529.05,540.4,525.7,539.1,,18782476,,,,,539.1,1.0,ICICIBANK
2020-02-06,540.35,547.0,536.25,541.6,,15296851,,,,,541.6,1.0,ICICIBANK
2020-02-07,540.95,541.75,535.15,536.45,,8297149,,,,,536.45,1.0,ICICIBANK
2020-02-10,538.65,542.25,530.5,533.95,,12536053,,,,,533.95,1.0,ICICIBANK
2020-02-11,537.7,544.8,537.5,539.75,,11243552,,,,,539.75,1.0,ICICIBANK
2020-02-12,545.8,550.7,542.7,549.3,,14026335,,,,,549.3,1.0,ICICIBANK
2020-02-13,549.0,549.0,538.0,541.0,,9227235,,,,,541.0,1.0,ICICIBANK
2020-02-14,541.25,548.65,536.55,545.8,,14458649,,,,,545.8,1.0,ICICIBANK
2020-02-17,543.0,545.35,537.75,541.6,,7793293,,,,,541.6,1.0,ICICIBANK
2020-02-18,541.0,544.4,536.0,541.2,,15918303,,,,,541.2,1.0,ICICIBANK
2020-02-19,543.5,546.5,540.5,544.8,,8704234,,,,,544.8,1.0,ICICIBANK
2020-02-20,545.5,549.35,541.8,547.0,,13588526,,,,,547.0,1.0,ICICIBANK
2020-02-24,539.5,541.85,527.55,529.85,,16940750,,,,,529.85,1.0,ICICIBANK
2020-02-25,532.45,538.8,525.3,530.95,,14942960,,,,,530.95,1.0,ICICIBANK
2020-02-26,526.85,529.35,522.2,523.7,,15743918,,,,,523.7,1.0,ICICIBANK
2020-02-27,522.8,523.3,512.65,515.35,,26315054,,,,,515.35,1.0,ICICIBANK
2020-02-28,501.6,506.85,492.2,497.25,,32737933,,,,,497.25,1.0,ICICIBANK
2020-03-02,508.25,520.55,498.45,506.1,,28642076,,,,,506.1,1.0,ICICIBANK
2020-03-03,509.85,519.5,508.5,514.75,,19661945,,,,,514.75,1.0,ICICIBANK
2020-03-04,517.5,517.5,497.05,508.35,,21883404,,,,,508.35,1.0,ICICIBANK
2020-03-05,509.75,511.15,500.0,504.5,,16671516,,,,,504.5,1.0,ICICIBANK
2020-03-06,485.0,496.8,477.3,486.35,,31024353,,,,,486.35,1.0,ICICIBANK
2020-03-09,475.0,475.0,442.95,457.75,,42027175,,,,,457.75,1.0,ICICIBANK
2020-03-11,450.0,471.75,449.6,465.65,,31018779,,,,,465.65,1.0,ICICIBANK
2020-03-12,438.0,445.95,416.0,425.65,,50757033,,,,,425.65,1.0,ICICIBANK
2020-03-13,401.0,464.75,395.2,447.2,,67104335,,,,,447.2,1.0,ICICIBANK
2020-03-16,424.2,424.2,397.45,402.9,,34833637,,,,,402.9,1.0,ICICIBANK
2020-03-17,407.0,408.45,364.0,367.25,,47232699,,,,,367.25,1.0,ICICIBANK
2020-03-18,369.1,375.5,342.3,355.05,,61202289,,,,,355.05,1.0,ICICIBANK
2020-03-19,336.1,369.6,323.0,338.55,,57985870,,,,,338.55,1.0,ICICIBANK
2020-03-20,328.0,359.8,323.0,345.7,,88640642,,,,,345.7,1.0,ICICIBANK
2020-03-23,311.15,313.7,280.0,284.0,,56867949,,,,,284.0,1.0,ICICIBANK
2020-03-24,295.3,305.0,268.3,296.5,,67895418,,,,,296.5,1.0,ICICIBANK
2020-03-25,284.0,334.15,281.6,316.9,,66544138,,,,,316.9,1.0,ICICIBANK
2020-03-26,322.0,364.4,314.25,330.25,,76173940,,,,,330.25,1.0,ICICIBANK
2020-03-27,355.8,359.55,326.0,339.85,,72889985,,,,,339.85,1.0,ICICIBANK
2020-03-30,330.1,333.9,311.1,313.4,,36559880,,,,,313.4,1.0,ICICIBANK
