trade_date,open,high,low,close,prev_close,volume,turnover_lakhs,num_trades,delivery_qty,delivery_pct,adjusted_close,adjustment_factor,symbol
2020-01-01,735.0,740.0,732.55,736.85,,2112415,,,,,736.85,1.0,INFY
2020-01-02,738.9,740.8,730.9,734.7,,5658200,,,,,734.7,1.0,INFY
2020-01-03,733.9,748.0,733.9,746.0,,7882938,,,,,746.0,1.0,INFY
2020-01-06,746.1,753.8,736.5,738.85,,6519403,,,,,738.85,1.0,INFY
2020-01-07,738.0,742.6,725.1,727.9,,7899363,,,,,727.9,1.0,INFY
2020-01-08,724.95,729.0,708.3,718.2,,8639443,,,,,718.2,1.0,INFY
2020-01-09,721.7,731.5,714.3,727.55,,13521186,,,,,727.55,1.0,INFY
2020-01-10,740.45,742.9,730.5,738.15,,9341405,,,,,738.15,1.0,INFY
2020-01-13,760.0,777.5,755.0,773.55,,36952038,,,,,773.55,1.0,INFY
2020-01-14,769.95,776.95,767.2,775.65,,11414418,,,,,775.65,1.0,INFY
2020-01-15,773.85,773.85,762.15,767.55,,6047430,,,,,767.55,1.0,INFY
2020-01-16,770.7,772.5,760.25,767.0,,5740586,,,,,767.0,1.0,INFY
2020-01-17,770.7,772.9,762.25,767.85,,3762957,,,,,767.85,1.0,INFY
2020-01-20,771.6,774.4,762.95,768.45,,3887680,,,,,768.45,1.0,INFY
2020-01-21,768.45,770.5,760.75,762.5,,4448374,,,,,762.5,1.0,INFY
2020-01-22,768.45,778.0,766.0,770.2,,9733935,,,,,770.2,1.0,INFY
2020-01-23,777.1,785.5,776.7,784.35,,12528017,,,,,784.35,1.0,INFY
2020-01-24,775.75,786.5,773.6,782.75,,7540490,,,,,782.75,1.0,INFY
2020-01-27,779.05,784.8,774.4,778.1,,3741610,,,,,778.1,1.0,INFY
2020-01-28,781.0,781.8,772.0,778.0,,5121009,,,,,778.0,1.0,INFY
2020-01-29,786.6,792.8,784.25,789.7,,6832757,,,,,789.7,1.0,INFY
2020-01-30,789.7,789.7,778.0,780.7,,3859680,,,,,780.7,1.0,INFY
2020-01-31,780.55,784.95,771.6,775.95,,6092028,,,,,775.95,1.0,INFY
2020-02-03,782.0,790.95,764.5,767.4,,6416745,,,,,767.4,1.0,INFY
2020-02-04,770.1,789.9,770.1,787.85,,5771311,,,,,787.85,1.0,INFY
2020-02-05,781.0,786.0,774.4,784.55,,6310409,,,,,784.55,1.0,INFY
2020-02-06,784.35,786.8,770.0,771.35,,7341622,,,,,771.35,1.0,INFY
2020-02-07,775.95,778.85,771.0,777.3,,2853344,,,,,777.3,1.0,INFY
2020-02-10,774.0,778.0,769.75,773.2,,3827682,,,,,773.2,1.0,INFY
2020-02-11,779.0,779.1,769.2,773.55,,4312817,,,,,773.55,1.0,INFY
2020-02-12,775.8,783.25,775.1,781.05,,2948825,,,,,781.05,1.0,INFY
