trade_date,open,high,low,close,volume,symbol
2022-09-08,50.0,52.5,50.0,52.5,1059000,KORE
2022-09-09,55.099998474121094,55.099998474121094,55.099998474121094,55.099998474121094,93000,KORE
2022-09-12,57.849998474121094,57.849998474121094,52.349998474121094,55.95000076293945,1026000,KORE
2022-09-13,53.349998474121094,56.900001525878906,53.20000076293945,56.70000076293945,534000,KORE
2022-09-14,58.900001525878906,59.5,56.5,59.5,297000,KORE
2022-09-15,62.45000076293945,62.45000076293945,62.0,62.45000076293945,126000,KORE
2022-09-16,65.55000305175781,65.55000305175781,60.20000076293945,65.55000305175781,378000,KORE
2022-09-19,68.69999694824219,68.80000305175781,62.29999923706055,62.29999923706055,279000,KORE
2022-09-20,59.25,65.0,59.20000076293945,61.25,249000,KORE
2022-09-21,62.95000076293945,64.19999694824219,60.650001525878906,63.04999923706055,90000,KORE
2022-09-22,64.0,64.0,61.0,62.0,51000,KORE
2022-09-23,61.0,61.0,57.849998474121094,57.900001525878906,24000,KORE
2022-09-26,59.75,59.75,57.099998474121094,57.099998474121094,6000,KORE
2022-09-27,57.0,57.0,53.099998474121094,55.0,66000,KORE
2022-09-28,52.25,64.0,50.0,60.650001525878906,201000,KORE
2022-09-29,59.0,63.0,56.0,56.650001525878906,126000,KORE
2022-09-30,56.04999923706055,62.900001525878906,56.04999923706055,62.0,90000,KORE
2022-10-03,60.04999923706055,61.849998474121094,60.0,60.0,24000,KORE
2022-10-04,60.04999923706055,60.04999923706055,59.04999923706055,59.150001525878906,30000,KORE
2022-10-06,58.0,59.95000076293945,57.0,58.95000076293945,42000,KORE
2022-10-07,58.5,59.29999923706055,58.0,59.20000076293945,84000,KORE
2022-10-10,59.900001525878906,62.79999923706055,57.5,60.650001525878906,90000,KORE
2022-10-11,60.0,60.0,58.25,58.70000076293945,30000,KORE
2022-10-12,56.79999923706055,56.79999923706055,56.5,56.5,15000,KORE
2022-10-13,55.54999923706055,55.54999923706055,55.400001525878906,55.400001525878906,6000,KORE
2022-10-14,59.95000076293945,66.44999694824219,58.0,66.44999694824219,354000,KORE
2022-10-17,79.4000015258789,79.69999694824219,73.55000305175781,79.69999694824219,282000,KORE
2022-10-18,88.0,92.75,75.0,87.75,759000,KORE
2022-10-19,86.0,96.5,85.25,92.5,621000,KORE
2022-10-20,94.0,95.19999694824219,89.0999984741211,91.4000015258789,144000,KORE
2022-10-21,90.0,90.75,84.94999694824219,86.25,297000,KORE
2022-10-24,94.8499984741211,94.8499984741211,94.8499984741211,94.8499984741211,69000,KORE
2022-10-25,104.30000305175781,104.30000305175781,104.30000305175781,104.30000305175781,150000,KORE
2022-10-27,114.69999694824219,114.69999694824219,114.69999694824219,114.69999694824219,42000,KORE
2022-10-28,126.1500015258789,126.1500015258789,126.1500015258789,126.1500015258789,75000,KORE
2022-10-31,132.4499969482422,132.4499969482422,132.4499969482422,132.4499969482422,24000,KORE
2022-11-01,139.0500030517578,139.0500030517578,126.19999694824219,139.0500030517578,936000,KORE
2022-11-02,145.0,146.0,132.10000610351562,143.14999389648438,363000,KORE
2022-11-03,143.60000610351562,150.3000030517578,143.5,150.25,96000,KORE
2022-11-04,154.0,157.75,154.0,157.75,96000,KORE
2022-11-07,165.60000610351562,165.60000610351562,165.60000610351562,165.60000610351562,57000,KORE
2022-11-09,173.85000610351562,173.85000610351562,165.64999389648438,173.85000610351562,90000,KORE
2022-11-10,182.5,182.5,165.1999969482422,182.5,303000,KORE
2022-11-11,191.60000610351562,191.60000610351562,183.0,191.60000610351562,96000,KORE
2022-11-14,201.14999389648438,201.14999389648438,182.0500030517578,185.9499969482422,282000,KORE
2022-11-15,176.6999969482422,188.5,176.6999969482422,185.0500030517578,288000,KORE
2022-11-16,190.39999389648438,194.3000030517578,182.0,194.3000030517578,204000,KORE
2022-11-17,200.0,204.0,196.0,200.4499969482422,186000,KORE
2022-11-18,207.35000610351562,210.0,194.0,203.0500030517578,138000,KORE
2022-11-21,206.0,206.0,196.0500030517578,199.25,48000,KORE
2022-11-22,195.0,195.0,189.3000030517578,189.3000030517578,33000,KORE
2022-11-23,180.0500030517578,184.89999389648438,179.85000610351562,183.5,84000,KORE
2022-11-24,176.64999389648438,176.64999389648438,174.35000610351562,174.35000610351562,27000,KORE
2022-11-25,165.64999389648438,183.0500030517578,165.64999389648438,183.0500030517578,69000,KORE
2022-11-28,191.60000610351562,192.1999969482422,191.60000610351562,192.1999969482422,21000,KORE
2022-11-29,198.0,201.8000030517578,198.0,201.8000030517578,42000,KORE
2022-11-30,203.10000610351562,211.85000610351562,203.10000610351562,211.0,54000,KORE
2022-12-01,219.6999969482422,219.8000030517578,200.4499969482422,200.4499969482422,54000,KORE
2022-12-02,190.5500030517578,194.9499969482422,190.4499969482422,194.9499969482422,48000,KORE
2022-12-05,194.9499969482422,194.9499969482422,194.9499969482422,194.9499969482422,0,KORE
2022-12-06,203.0,204.64999389648438,199.0,204.60000610351562,24000,KORE
2022-12-07,200.0,209.0,200.0,209.0,9000,KORE
2022-12-08,195.0,200.0,190.0,200.0,27000,KORE
2022-12-09,218.0,218.0,200.0500030517578,207.8000030517578,27000,KORE
2022-12-12,202.5500030517578,204.9499969482422,196.60000610351562,196.8000030517578,21000,KORE
2022-12-13,200.0,204.0,200.0,204.0,6000,KORE
2022-12-14,200.0,203.0,200.0,203.0,9000,KORE
2022-12-15,191.75,210.0,191.75,205.1999969482422,69000,KORE
2022-12-16,207.89999389648438,225.6999969482422,206.0,225.14999389648438,107000,KORE
2022-12-19,234.0,247.64999389648438,227.89999389648438,247.64999389648438,58000,KORE
2022-12-20,254.9499969482422,260.0,254.89999389648438,260.0,56000,KORE
2022-12-21,273.0,273.0,247.0,247.0,105000,KORE
2022-12-22,240.0,240.0,234.64999389648438,234.64999389648438,16000,KORE
2022-12-23,222.9499969482422,222.9499969482422,222.9499969482422,222.9499969482422,6000,KORE
2022-12-26,211.85000610351562,224.0,211.85000610351562,214.0500030517578,66000,KORE
2022-12-27,207.1999969482422,213.9499969482422,203.35000610351562,208.5,35000,KORE
2022-12-28,207.60000610351562,218.89999389648438,207.60000610351562,218.89999389648438,39000,KORE
2022-12-29,228.0,229.8000030517578,225.0,227.89999389648438,26000,KORE
2022-12-30,226.0,237.8000030517578,216.5500030517578,216.6999969482422,31000,KORE
2023-01-02,208.0500030517578,215.0,206.25,215.0,21000,KORE
2023-01-03,206.0500030517578,209.5,204.25,204.25,71000,KORE
2023-01-04,207.0,207.0,198.0,200.5,19000,KORE
2023-01-05,196.5,205.0,195.8000030517578,199.0,13000,KORE
2023-01-06,199.0,204.8000030517578,199.0,204.8000030517578,2000,KORE
2023-01-09,206.0,215.0,205.0,205.0,8000,KORE
2023-01-10,201.60000610351562,213.39999389648438,201.60000610351562,211.6999969482422,17000,KORE
2023-01-11,215.0,222.25,215.0,222.25,45000,KORE
2023-01-12,233.35000610351562,233.35000610351562,225.0,232.3000030517578,25000,KORE
2023-01-13,237.5,237.5,220.6999969482422,233.6999969482422,17000,KORE
2023-01-16,228.0,230.0,222.0500030517578,225.4499969482422,19000,KORE
2023-01-17,216.14999389648438,223.5,216.14999389648438,221.14999389648438,4000,KORE
2023-01-18,229.9499969482422,232.1999969482422,229.9499969482422,232.1999969482422,6000,KORE
2023-01-19,242.0,242.0,230.0,238.0,11000,KORE
2023-01-20,236.5,236.5,235.0,235.6999969482422,5000,KORE
2023-01-23,244.0,247.4499969482422,225.0,247.4499969482422,82000,KORE
2023-01-24,250.10000610351562,259.79998779296875,250.0,259.79998779296875,34000,KORE
2023-01-25,268.5,269.0,260.0,265.3500061035156,32000,KORE
2023-01-27,265.0,265.0,252.10000610351562,255.0,18000,KORE
2023-01-30,264.0,264.0,245.0,246.5,11000,KORE
2023-01-31,246.5,258.79998779296875,237.85000610351562,258.79998779296875,9000,KORE
2023-02-01,252.0,265.8999938964844,245.89999389648438,257.1499938964844,37000,KORE
2023-02-02,254.0,257.79998779296875,244.3000030517578,255.25,32000,KORE
2023-02-03,244.0,258.0,242.5,247.60000610351562,28000,KORE
2023-02-06,252.0,253.9499969482422,252.0,252.0,5000,KORE
2023-02-07,254.0,263.45001220703125,245.0,257.1000061035156,59000,KORE
2023-02-08,250.35000610351562,252.0,244.25,244.25,21000,KORE
2023-02-09,237.0,247.0,236.0,243.9499969482422,15000,KORE
2023-02-10,235.5,235.5,231.75,231.75,21000,KORE
2023-02-13,231.75,231.75,231.75,231.75,0,KORE
2023-02-14,222.0,222.0,220.1999969482422,221.0,41000,KORE
2023-02-15,230.0,232.0500030517578,214.0500030517578,222.39999389648438,25000,KORE
2023-02-16,228.60000610351562,228.64999389648438,225.8000030517578,225.8000030517578,3000,KORE
2023-02-17,225.9499969482422,226.0,217.0,222.8000030517578,8000,KORE
2023-02-20,222.8000030517578,222.8000030517578,222.8000030517578,222.8000030517578,0,KORE
2023-02-21,215.0,219.5,211.6999969482422,218.39999389648438,14000,KORE
2023-02-22,207.5,214.0,207.5,210.75,5000,KORE
2023-02-23,207.5,207.5,207.5,207.5,2000,KORE
2023-02-24,207.0,211.0,207.0,210.25,4000,KORE
2023-02-27,209.89999389648438,210.0,199.75,199.75,8000,KORE
2023-02-28,200.0,200.0,189.8000030517578,189.8000030517578,26000,KORE
2023-03-01,191.0,191.0,187.0,187.0,7000,KORE
2023-03-02,187.0,187.0,177.64999389648438,185.0,12000,KORE
2023-03-03,181.0,190.0,180.0,188.0,13000,KORE
2023-03-06,189.0,189.0,189.0,189.0,1000,KORE
2023-03-08,180.6999969482422,180.6999969482422,179.5500030517578,179.5500030517578,4000,KORE
2023-03-09,185.0,185.0,173.0,183.0,7000,KORE
2023-03-10,183.0,183.0,173.85000610351562,173.85000610351562,6000,KORE
2023-03-13,166.14999389648438,170.0,165.14999389648438,169.8000030517578,16000,KORE
2023-03-14,161.35000610351562,172.89999389648438,161.35000610351562,161.35000610351562,35000,KORE
2023-03-15,157.0,164.25,153.3000030517578,153.3000030517578,45000,KORE
2023-03-16,146.0500030517578,154.9499969482422,145.64999389648438,154.0,35000,KORE
2023-03-17,161.6999969482422,161.6999969482422,161.6999969482422,161.6999969482422,12000,KORE
2023-03-20,161.6999969482422,169.75,161.6999969482422,167.35000610351562,40000,KORE
2023-03-21,174.89999389648438,175.6999969482422,174.89999389648438,175.6999969482422,4000,KORE
2023-03-22,184.4499969482422,184.4499969482422,182.0,184.4499969482422,19000,KORE
2023-03-23,188.0,193.64999389648438,188.0,193.64999389648438,8000,KORE
2023-03-24,202.9499969482422,203.3000030517578,198.0,198.64999389648438,32000,KORE
2023-03-27,189.0,202.5,188.75,202.5,3000,KORE
2023-03-28,202.0,202.0,192.39999389648438,201.0,6000,KORE
2023-03-29,199.0,199.0,190.9499969482422,192.5,72000,KORE
2023-03-31,196.0,196.0,182.89999389648438,182.89999389648438,6000,KORE
2023-04-03,176.5,189.0,175.64999389648438,186.85000610351562,38000,KORE
2023-04-05,186.85000610351562,186.85000610351562,186.85000610351562,186.85000610351562,0,KORE
2023-04-06,185.89999389648438,194.39999389648438,185.89999389648438,194.25,11000,KORE
2023-04-10,189.0500030517578,194.35000610351562,189.0500030517578,194.35000610351562,2000,KORE
2023-04-11,194.35000610351562,209.0,183.0500030517578,206.5,15000,KORE
2023-04-12,206.5,207.0,206.5,207.0,2000,KORE
2023-04-13,194.0500030517578,203.0,194.0500030517578,199.25,3000,KORE
2023-04-17,195.0,195.0,195.0,195.0,1000,KORE
2023-04-18,195.0,195.0,188.0,195.0,7000,KORE
2023-04-19,185.10000610351562,195.0,185.10000610351562,195.0,5000,KORE
2023-04-20,185.64999389648438,187.0,180.0,180.0,10000,KORE
2023-04-21,197.0,197.0,185.0,185.8000030517578,11000,KORE
2023-04-24,189.5,190.0,185.0,185.0,15000,KORE
2023-04-25,185.0,189.0,185.0,189.0,3000,KORE
2023-04-26,194.0,194.0,187.0,188.0,6000,KORE
2023-04-27,188.0,188.3000030517578,185.0,187.0,9000,KORE
2023-04-28,191.85000610351562,192.0,187.0,187.0,10000,KORE
2023-05-02,190.0,190.0,190.0,190.0,2000,KORE
