trade_date,open,high,low,close,prev_close,volume,turnover_lakhs,num_trades,delivery_qty,delivery_pct,adjusted_close,adjustment_factor,symbol
2020-01-01,693.98,698.14,688.26,690.14,,14004468,,,,,345.07,0.5,RELIANCE
2020-01-02,691.24,704.47,691.24,701.89,,17710316,,,,,350.945,0.5,RELIANCE
2020-01-03,700.84,704.79,696.26,702.73,,20984698,,,,,351.365,0.5,RELIANCE
2020-01-06,694.89,698.5,684.84,686.44,,24519177,,,,,343.22,0.5,RELIANCE
2020-01-07,694.44,701.52,691.92,697.0,,16683622,,,,,348.5,0.5,RELIANCE
2020-01-08,692.61,701.5,690.32,691.76,,16047902,,,,,345.88,0.5,RELIANCE
2020-01-09,703.4,708.61,700.04,707.69,,14982742,,,,,353.845,0.5,RELIANCE
2020-01-10,709.48,712.24,703.88,707.53,,12478359,,,,,353.765,0.5,RELIANCE
2020-01-13,706.34,712.59,703.3,705.73,,18282382,,,,,352.865,0.5,RELIANCE
2020-01-14,704.04,708.61,695.74,699.19,,15816535,,,,,349.595,0.5,RELIANCE
2020-01-15,702.14,703.99,694.09,696.65,,15817859,,,,,348.325,0.5,RELIANCE
2020-01-16,699.01,705.57,698.55,703.08,,12847975,,,,,351.54,0.5,RELIANCE
2020-01-17,710.21,724.59,710.07,722.78,,29463471,,,,,361.39,0.5,RELIANCE
2020-01-20,735.58,735.58,697.82,700.54,,32545850,,,,,350.27,0.5,RELIANCE
2020-01-21,698.82,706.71,695.81,701.25,,18922720,,,,,350.625,0.5,RELIANCE
2020-01-22,705.86,707.12,699.97,701.0,,10322817,,,,,350.5,0.5,RELIANCE
2020-01-23,702.44,704.93,695.21,698.02,,11247739,,,,,349.01,0.5,RELIANCE
2020-01-24,698.09,702.37,694.23,695.6,,14628445,,,,,347.8,0.5,RELIANCE
2020-01-27,692.56,696.93,688.04,688.74,,13387750,,,,,344.37,0.5,RELIANCE
2020-01-28,689.68,690.32,669.11,672.83,,24532236,,,,,336.415,0.5,RELIANCE
2020-01-29,673.89,683.19,669.31,676.54,,24746565,,,,,338.27,0.5,RELIANCE
2020-01-30,676.15,676.47,658.32,660.03,,22402689,,,,,330.015,0.5,RELIANCE
2020-01-31,664.26,664.38,643.32,645.36,,34750310,,,,,322.68,0.5,RELIANCE
2020-02-03,626.27,640.01,623.14,633.4,,30712290,,,,,316.7,0.5,RELIANCE
