trade_date,open,high,low,close,volume,symbol
2023-11-30,1152.4552774538272,1344.531157029465,1152.4552774538272,1260.9781494140625,46579444,TATATECH
2023-12-01,1286.2362470424405,1294.5915013818667,1163.595720673614,1172.2391357421875,18681419,TATATECH
2023-12-04,1172.23916592818,1185.1082743639863,1105.5408581583551,1145.3966064453125,14740755,TATATECH
2023-12-05,1145.3966464002044,1173.5356957115544,1128.4459245967307,1144.6282958984375,4422358,TATATECH
2023-12-06,1154.3761337081273,1159.610154974922,1134.2081646499987,1141.4110107421875,2735968,TATATECH
2023-12-07,1145.6846751882767,1151.4950180444164,1133.247807583329,1138.721923828125,1624651,TATATECH
2023-12-08,1141.8911432364625,1171.3747448688898,1141.1708586633529,1145.300537109375,2528210,TATATECH
2023-12-11,1151.495030815269,1219.3938151799866,1145.7327537636497,1188.3255615234375,8017469,TATATECH
2023-12-12,1204.3158127502281,1213.0072935396001,1181.266706286109,1184.387939453125,2426780,TATATECH
2023-12-13,1194.7120387290004,1233.8955672785921,1187.1730834747816,1200.8104248046875,4281933,TATATECH
2023-12-14,1219.682003559312,1224.4839012111204,1191.0146980247823,1194.0399169921875,1992554,TATATECH
2023-12-15,1206.1886168993433,1206.9089015427166,1190.8706103771367,1192.9833984375,1239743,TATATECH
2023-12-18,1196.2966324491717,1199.6579603755622,1177.0409784344656,1180.54638671875,1000620,TATATECH
2023-12-19,1184.1479610507672,1209.8861793604876,1176.080749548181,1192.3592529296875,2086748,TATATECH
2023-12-20,1198.4575543103847,1199.2738534064797,1150.5345957004706,1153.559814453125,1604663,TATATECH
2023-12-21,1119.082101093685,1170.318318877,1119.082101093685,1161.002685546875,1504596,TATATECH
2023-12-22,1166.5728533254166,1174.0638598153114,1157.2572196952558,1160.858642578125,701235,TATATECH
2023-12-26,1162.0590640670468,1169.69403333826,1152.9354598450327,1155.0963134765625,575200,TATATECH
2023-12-27,1160.1383778344893,1164.844260595317,1148.8058534091344,1152.0711669921875,656321,TATATECH
2023-12-28,1152.4553266962735,1154.2320052114999,1122.683564089953,1129.358154296875,1913710,TATATECH
2023-12-29,1133.2478873918328,1140.9309239165232,1124.0762156469502,1133.3919677734375,974333,TATATECH
2024-01-01,1137.0892033149933,1150.4385003479706,1133.2476857362265,1133.6798095703125,794228,TATATECH
2024-01-02,1137.0893082327416,1141.7951911476991,1130.3666518496088,1135.1204833984375,720393,TATATECH
