trade_date,open,high,low,close,prev_close,volume,turnover_lakhs,num_trades,delivery_qty,delivery_pct,adjusted_close,adjustment_factor,symbol
2020-01-01,2168.0,2183.9,2154.0,2167.6,,1354908,,,,,2167.6,1.0,TCS
2020-01-02,2179.95,2179.95,2149.2,2157.65,,2380752,,,,,2157.65,1.0,TCS
2020-01-03,2164.0,2223.0,2164.0,2200.65,,4655761,,,,,2200.65,1.0,TCS
2020-01-06,2205.0,2225.95,2187.9,2200.45,,3023209,,,,,2200.45,1.0,TCS
2020-01-07,2200.5,2214.65,2183.8,2205.85,,2429317,,,,,2205.85,1.0,TCS
2020-01-08,2205.0,2260.0,2202.05,2255.25,,5197454,,,,,2255.25,1.0,TCS
2020-01-09,2248.75,2251.95,2210.0,2214.35,,3734173,,,,,2214.35,1.0,TCS
2020-01-10,2228.0,2234.0,2208.0,2213.55,,1915807,,,,,2213.55,1.0,TCS
2020-01-13,2217.85,2218.95,2184.7,2190.35,,2843893,,,,,2190.35,1.0,TCS
2020-01-14,2195.0,2229.8,2195.0,2206.9,,2948452,,,,,2206.9,1.0,TCS
2020-01-15,2213.0,2231.0,2194.2,2226.9,,2620681,,,,,2226.9,1.0,TCS
2020-01-16,2226.95,2249.0,2215.0,2238.8,,3117214,,,,,2238.8,1.0,TCS
2020-01-17,2240.75,2253.55,2213.0,2219.1,,3281059,,,,,2219.1,1.0,TCS
2020-01-20,2194.9,2242.2,2156.2,2170.35,,5817599,,,,,2170.35,1.0,TCS
2020-01-21,2169.95,2186.55,2158.05,2171.05,,1902980,,,,,2171.05,1.0,TCS
2020-01-22,2181.0,2210.0,2173.7,2206.9,,1773686,,,,,2206.9,1.0,TCS
2020-01-23,2209.8,2217.75,2183.7,2190.95,,2069866,,,,,2190.95,1.0,TCS
2020-01-24,2190.95,2190.95,2170.0,2183.4,,1319430,,,,,2183.4,1.0,TCS
2020-01-27,2189.7,2193.45,2165.0,2169.25,,1549101,,,,,2169.25,1.0,TCS
2020-01-28,2174.0,2187.8,2152.0,2183.75,,1743024,,,,,2183.75,1.0,TCS
2020-01-29,2185.0,2186.95,2150.0,2154.6,,2306761,,,,,2154.6,1.0,TCS
2020-01-30,2160.0,2165.0,2125.0,2137.85,,2098567,,,,,2137.85,1.0,TCS
2020-01-31,2139.4,2144.35,2071.6,2079.05,,3287223,,,,,2079.05,1.0,TCS
2020-02-03,2152.0,2194.7,2093.2,2102.5,,4728073,,,,,2102.5,1.0,TCS
2020-02-04,2129.0,2136.7,2086.6,2107.75,,3509339,,,,,2107.75,1.0,TCS
2020-02-05,2115.0,2156.7,2104.3,2146.55,,2439322,,,,,2146.55,1.0,TCS
2020-02-06,2145.0,2174.2,2115.5,2128.35,,2640065,,,,,2128.35,1.0,TCS
2020-02-07,2139.0,2151.0,2119.0,2136.55,,2083442,,,,,2136.55,1.0,TCS
2020-02-10,2140.9,2167.0,2119.0,2161.95,,2383032,,,,,2161.95,1.0,TCS
2020-02-11,2163.0,2174.8,2147.6,2153.4,,1335820,,,,,2153.4,1.0,TCS
2020-02-12,2151.1,2185.0,2150.0,2170.75,,1620407,,,,,2170.75,1.0,TCS
2020-02-13,2172.95,2197.0,2171.0,2191.95,,1645948,,,,,2191.95,1.0,TCS
2020-02-14,2188.0,2212.0,2171.0,2184.2,,1500115,,,,,2184.2,1.0,TCS
2020-02-17,2196.95,2217.0,2190.2,2203.25,,1774724,,,,,2203.25,1.0,TCS
2020-02-18,2199.95,2221.0,2186.05,2215.75,,2486223,,,,,2215.75,1.0,TCS
2020-02-19,2215.75,2230.0,2190.5,2196.35,,1760463,,,,,2196.35,1.0,TCS
2020-02-20,2204.5,2214.4,2151.25,2156.8,,2317278,,,,,2156.8,1.0,TCS
2020-02-24,2156.0,2178.95,2106.7,2115.35,,3092877,,,,,2115.35,1.0,TCS
2020-02-25,2115.5,2176.65,2111.0,2156.15,,2674567,,,,,2156.15,1.0,TCS
2020-02-26,2154.0,2163.9,2112.95,2123.6,,2686842,,,,,2123.6,1.0,TCS
2020-02-27,2119.95,2119.95,2086.2,2105.5,,2349001,,,,,2105.5,1.0,TCS
2020-02-28,2068.0,2069.5,1990.0,2000.15,,4298076,,,,,2000.15,1.0,TCS
2020-03-02,2035.0,2053.95,1985.7,2001.3,,2667076,,,,,2001.3,1.0,TCS
2020-03-03,2020.0,2060.0,2012.0,2036.2,,2757585,,,,,2036.2,1.0,TCS
2020-03-04,2056.0,2094.45,2025.0,2083.2,,3237002,,,,,2083.2,1.0,TCS
2020-03-05,2085.7,2147.75,2084.05,2125.05,,3937056,,,,,2125.05,1.0,TCS
2020-03-06,2098.0,2123.65,2071.6,2116.45,,2595027,,,,,2116.45,1.0,TCS
2020-03-09,2075.0,2079.9,1935.0,1972.35,,4940975,,,,,1972.35,1.0,TCS
2020-03-11,1933.0,1987.3,1920.0,1953.7,,6796449,,,,,1953.7,1.0,TCS
2020-03-12,1904.0,1908.4,1758.35,1769.85,,8728786,,,,,1769.85,1.0,TCS
2020-03-13,1687.9,1820.0,1506.05,1806.3,,8029720,,,,,1806.3,1.0,TCS
2020-03-16,1755.0,1842.25,1675.85,1696.4,,7844271,,,,,1696.4,1.0,TCS
2020-03-17,1730.0,1731.0,1623.15,1658.0,,5713248,,,,,1658.0,1.0,TCS
2020-03-18,1676.8,1713.55,1627.75,1654.4,,7258778,,,,,1654.4,1.0,TCS
2020-03-19,1559.7,1685.45,1546.75,1636.35,,5135111,,,,,1636.35,1.0,TCS
2020-03-20,1630.0,1869.0,1627.0,1797.45,,8547498,,,,,1797.45,1.0,TCS
2020-03-23,1620.0,1750.0,1617.75,1669.7,,7003490,,,,,1669.7,1.0,TCS
2020-03-24,1653.05,1770.0,1632.85,1703.15,,6350865,,,,,1703.15,1.0,TCS
2020-03-25,1700.0,1810.0,1680.0,1750.3,,2765520,,,,,1750.3,1.0,TCS
2020-03-26,1831.6,1832.05,1722.55,1790.95,,4556067,,,,,1790.95,1.0,TCS
2020-03-27,1820.0,1850.0,1750.4,1824.5,,4331250,,,,,1824.5,1.0,TCS
2020-03-30,1766.0,1905.0,1763.55,1778.5,,8513547,,,,,1778.5,1.0,TCS
2020-03-31,1837.4,1855.0,1780.0,1826.1,,3927593,,,,,1826.1,1.0,TCS
2020-04-01,1825.9,1834.75,1702.0,1708.75,,4941878,,,,,1708.75,1.0,TCS
2020-04-03,1740.0,1740.0,1650.0,1654.2,,5735369,,,,,1654.2,1.0,TCS
2020-04-07,1710.0,1785.85,1705.0,1775.2,,5427577,,,,,1775.2,1.0,TCS
2020-04-08,1760.0,1806.0,1701.0,1705.45,,6285615,,,,,1705.45,1.0,TCS
2020-04-09,1750.45,1778.8,1731.2,1766.15,,5307397,,,,,1766.15,1.0,TCS
2020-04-13,1761.0,1787.0,1746.0,1759.25,,2990438,,,,,1759.25,1.0,TCS
2020-04-15,1785.0,1812.0,1727.8,1735.15,,4761399,,,,,1735.15,1.0,TCS
2020-04-16,1709.95,1764.9,1675.05,1716.05,,6245533,,,,,1716.05,1.0,TCS
2020-04-17,1800.0,1851.95,1753.0,1806.2,,9895823,,,,,1806.2,1.0,TCS
2020-04-20,1830.0,1830.0,1802.5,1818.65,,3244282,,,,,1818.65,1.0,TCS
2020-04-21,1765.0,1794.6,1727.7,1737.65,,5122541,,,,,1737.65,1.0,TCS
2020-04-22,1737.65,1790.0,1719.15,1769.5,,3829836,,,,,1769.5,1.0,TCS
2020-04-23,1780.0,1900.0,1760.85,1878.25,,5934366,,,,,1878.25,1.0,TCS
2020-04-24,1840.7,1851.95,1807.8,1818.55,,2987102,,,,,1818.55,1.0,TCS
2020-04-27,1832.3,1875.0,1825.0,1836.6,,3374741,,,,,1836.6,1.0,TCS
2020-04-28,1865.0,1868.0,1832.6,1859.05,,2678505,,,,,1859.05,1.0,TCS
2020-04-29,1874.0,1912.55,1850.05,1905.65,,4241510,,,,,1905.65,1.0,TCS
2020-04-30,1980.0,2032.0,1942.2,2014.45,,5915544,,,,,2014.45,1.0,TCS
2020-05-04,1966.0,1966.0,1913.65,1930.45,,3729348,,,,,1930.45,1.0,TCS
2020-05-05,1955.1,1977.0,1927.0,1932.75,,2905528,,,,,1932.75,1.0,TCS
2020-05-06,1939.8,1953.7,1893.6,1903.6,,3517431,,,,,1903.6,1.0,TCS
2020-05-07,1910.0,1934.45,1883.35,1891.65,,3166754,,,,,1891.65,1.0,TCS
2020-05-08,1939.1,1939.5,1886.25,1893.4,,2686530,,,,,1893.4,1.0,TCS
2020-05-11,1909.0,1951.4,1909.0,1935.3,,2449841,,,,,1935.3,1.0,TCS
2020-05-12,1933.4,1956.5,1910.25,1949.5,,3256595,,,,,1949.5,1.0,TCS
2020-05-13,1994.0,1994.0,1925.65,1949.65,,2656665,,,,,1949.65,1.0,TCS
2020-05-14,1910.0,1923.1,1891.1,1902.35,,2263146,,,,,1902.35,1.0,TCS
2020-05-15,1916.0,1917.4,1865.2,1892.9,,3173682,,,,,1892.9,1.0,TCS
2020-05-18,1907.0,1952.95,1872.1,1945.6,,3727694,,,,,1945.6,1.0,TCS
2020-05-19,1903.0,1966.45,1903.0,1948.65,,3198693,,,,,1948.65,1.0,TCS
2020-05-20,1950.0,1962.9,1931.7,1953.6,,2778505,,,,,1953.6,1.0,TCS
2020-05-21,1946.0,1998.0,1941.15,1991.2,,3400908,,,,,1991.2,1.0,TCS
2020-05-22,1977.1,2032.0,1961.25,2020.35,,3663418,,,,,2020.35,1.0,TCS
2020-05-26,2015.0,2024.0,1925.0,1943.0,,4575317,,,,,1943.0,1.0,TCS
2020-05-27,1959.0,2010.0,1941.25,2005.3,,3482160,,,,,2005.3,1.0,TCS
2020-05-28,1988.5,2014.0,1971.3,2004.3,,3475681,,,,,2004.3,1.0,TCS
2020-05-29,1982.0,2002.65,1962.4,1972.35,,7237735,,,,,1972.35,1.0,TCS
2020-06-01,1990.0,2060.0,1981.1,2045.25,,3747773,,,,,2045.25,1.0,TCS
2020-06-02,2060.2,2081.0,2040.05,2047.15,,2443886,,,,,2047.15,1.0,TCS
2020-06-03,2051.85,2063.75,2020.0,2046.15,,3699799,,,,,2046.15,1.0,TCS
2020-06-04,2046.75,2100.0,2046.75,2091.55,,4048593,,,,,2091.55,1.0,TCS
